"FileName","FilePath","Subsystem","Status","Notes"
"AssetInitializer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetInitializer.cs","Assets","NearEmpty",""
"AssetInitializer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetInitializer.cs","Assets","NearEmpty",""
"AssetPipeline.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetPipeline.cs","Assets","NearEmpty",""
"AssetPipeline.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetPipeline.cs","Assets","NearEmpty",""
"AssetRegistry.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetRegistry.cs","Assets","NearEmpty",""
"AssetRegistry.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetRegistry.cs","Assets","NearEmpty",""
"DataLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\DataLoader.cs","Assets","NearEmpty",""
"DataLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\DataLoader.cs","Assets","NearEmpty",""
"TextureLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\TextureLoader.cs","Assets","NearEmpty",""
"TextureLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\TextureLoader.cs","Assets","NearEmpty",""
"BasicChaseBehavior.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\AI\Behaviors\BasicChaseBehavior.cs","Behaviors","NearEmpty",""
"BasicChaseBehavior.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\AI\Behaviors\BasicChaseBehavior.cs","Behaviors","NearEmpty",""
"Blackboard.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\AI\Blackboard\Blackboard.cs","Blackboard","NearEmpty",""
"Blackboard.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\AI\Blackboard\Blackboard.cs","Blackboard","NearEmpty",""
"GameLoop.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameLoop.cs","Core","Populated",""
"GameRoot.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameRoot.cs","Core","Populated",""
"TimingController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\TimingController.cs","Core","Populated",""
"PathDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Debug\PathDebugRenderer.cs","Debug","Populated",""
"PathDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Debug\PathDebugRenderer.cs","Debug","Populated",""
"DebugLogger.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\DebugLogger.cs","Diagnostics","Populated",""
"DebugLogger.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\DebugLogger.cs","Diagnostics","Populated",""
"FrameStats.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\FrameStats.cs","Diagnostics","Populated",""
"FrameStats.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\FrameStats.cs","Diagnostics","Populated",""
"HeartbeatMonitor.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\HeartbeatMonitor.cs","Diagnostics","Populated",""
"HeartbeatMonitor.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\HeartbeatMonitor.cs","Diagnostics","Populated",""
"Timing.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\Timing.cs","Diagnostics","Populated",""
"Timing.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\Timing.cs","Diagnostics","Populated",""
"Enemy.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Enemy.cs","Entities","Populated",""
"Projectile.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Projectile.cs","Entities","Populated",""
"Soldier.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Soldier.cs","Entities","Populated",""
"Turret.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Turret.cs","Entities","Populated",""
"DamageResolver.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\DamageResolver.cs","Gameplay","NearEmpty",""
"DamageResolver.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\DamageResolver.cs","Gameplay","NearEmpty",""
"EnemyBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\EnemyBase.cs","Gameplay","Populated",""
"EnemyBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\EnemyBase.cs","Gameplay","Populated",""
"ProjectileSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\ProjectileSystem.cs","Gameplay","Populated",""
"ProjectileSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\ProjectileSystem.cs","Gameplay","Populated",""
"TowerBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\TowerBase.cs","Gameplay","Populated",""
"TowerBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\TowerBase.cs","Gameplay","Populated",""
"WaveController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\WaveController.cs","Gameplay","Populated",""
"WaveController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\WaveController.cs","Gameplay","Populated",""
"EnemyManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EnemyManager.cs","Managers","Populated",""
"EntityManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EntityManager.cs","Managers","Populated",""
"ProjectileManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\ProjectileManager.cs","Managers","Populated",""
"WaveManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\WaveManager.cs","Managers","Populated",""
"PathLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\Paths\PathLoader.cs","Paths","NearEmpty",""
"Win32Window.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Platform\Win32Window.cs","Platform","Populated",""
"DebugOverlay.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\DebugOverlay.cs","Rendering","Populated",""
"Framebuffer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Framebuffer.cs","Rendering","Populated",""
"IRenderContext.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\IRenderContext.cs","Rendering","Populated",""
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderQueue.cs","Rendering","Populated",""
"RenderSurface.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderSurface.cs","Rendering","NearEmpty",""
"TextRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\TextRenderer.cs","Rendering","NearEmpty",""
"Texture2D.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Texture2D.cs","Rendering","Populated",""
"WindowHost.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\WindowHost.cs","Rendering","NearEmpty",""
"GameScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\GameScene.cs","Scenes","NearEmpty",""
"IScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\IScene.cs","Scenes","Populated",""
"MainMenuScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\MainMenuScene.cs","Scenes","NearEmpty",""
"PauseScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\PauseScene.cs","Scenes","NearEmpty",""
"Scene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\Scene.cs","Scenes","NearEmpty",""
"SceneManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\SceneManager.cs","Scenes","Populated",""
"AnimationSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\AnimationSystem.cs","Systems","Populated",""
"CameraSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\CameraSystem.cs","Systems","Populated",""
"EventDispatcher.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\EventDispatcher.cs","Systems","NearEmpty",""
"GameStateManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\GameStateManager.cs","Systems","Populated",""
"InputRouter.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\InputRouter.cs","Systems","Populated",""
"LoggingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\LoggingSystem.cs","Systems","Populated",""
"PathfindingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\PathfindingSystem.cs","Systems","Populated",""
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\RenderQueue.cs","Systems","Populated",""
"MeanStreetsTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\TestScenes\MeanStreetsTest.cs","TestScenes","NearEmpty",""
"AppendixScripts.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\AppendixScripts.cs","Tools","Populated",""
"AutomationEnhancements.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\AutomationEnhancements.cs","Tools","Populated",""
"CleanupScripts.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\CleanupScripts.cs","Tools","Populated",""
"StructureGenerator.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\StructureGenerator.cs","Tools","Populated",""
"Button.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Button.cs","UI","NearEmpty",""
"HUD.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\HUD.cs","UI","NearEmpty",""
"LayoutSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\LayoutSystem.cs","UI","NearEmpty",""
"Menus.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Menus.cs","UI","NearEmpty",""
"Panel.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Panel.cs","UI","Populated",""
"UIElementBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\UIElementBase.cs","UI","NearEmpty",""
"BasicZombie.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\BasicZombie.cs","Zombies","NearEmpty",""
"BasicZombie.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\BasicZombie.cs","Zombies","NearEmpty",""
"BasicZombie.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\BasicZombie.cs","Zombies","NearEmpty",""
"ZombieBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieBase.cs","Zombies","NearEmpty",""
"ZombieBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieBase.cs","Zombies","NearEmpty",""
"ZombieBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieBase.cs","Zombies","NearEmpty",""
"ZombieController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieController.cs","Zombies","NearEmpty",""
"ZombieController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieController.cs","Zombies","NearEmpty",""
"ZombieController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieController.cs","Zombies","NearEmpty",""
"ZombieMovement.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\Zombies\ZombieMovement.cs","Zombies","NearEmpty",""
"ZombieRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Zombies\ZombieRenderer.cs","Zombies","Populated",""
"ZombieRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Zombies\ZombieRenderer.cs","Zombies","Populated",""
"ZombieSpawner.cs","E:\BDC\Projects\SASZombieAssaultTD\Scripts\Zombies\ZombieSpawner.cs","Zombies","NearEmpty",""
